Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Tunisia,63.62,64.31,65.03,65.76,66.51,67.27,68.03,68.78,69.53,70.26,70.97,71.67
Turkey,89.57,90.74,92.07,93.61,95.31,97.06,98.71,100.17,101.38,102.4,103.25,104.01
Tuvalu,343.8,347.47,351,354.43,357.97,361.9,365.73,369.97,374.17,379,383.6,388.2
"Taiwan, China",650.072,650.072,654.831,657.124,659.331,661.44,663.428,665.278,666.992,668.584,670.05,671
Tanzania,45.23,46.68,48.19,49.74,51.35,53.01,54.71,56.45,58.22,60.04,61.9,63.79
Uganda,128.4,132.76,137.24,141.84,146.56,151.41,156.42,161.59,166.93,172.44,178.1,183.91
Uruguay,19.02,19.08,19.15,19.21,19.28,19.34,19.4,19.47,19.54,19.62,19.69,19.76
United States,30.97,31.25,31.52,31.77,32.02,32.26,32.49,32.73,32.97,33.21,33.45,33.69
Uzbekistan,60.24,61.1,62,62.94,63.91,64.89,65.87,66.82,67.73,68.6,69.43,70.24
St. Vincent and the Grenadines,277.931,277.659,277.577,277.733,278.038,278.518,279.131,279.867,280.664,281.608,282.59,280.08
,,,,,,,,,,,,
Venezuela,30.83,31.31,31.79,32.27,32.73,33.2,33.65,34.11,34.56,35,35.45,35.88
British Virgin Islands,173.98,180.26,185.29,188.79,191,192.31,193.26,194.35,195.7,197.18,198.68,200.2
Virgin Islands,309.711,309.729,309.594,309.406,309.117,308.697,308.24,307.743,307.171,306.48,305.649,299
Vietnam,261.63,264.22,266.97,269.88,272.94,276.1,279.25,282.35,285.36,288.29,291.14,293.9
,,,,,,,,,,,,
Vanuatu,18.49,18.93,19.38,19.84,20.3,20.77,21.24,21.71,22.19,22.67,23.15,23.64
Samoa,64.53,64.98,65.48,66.01,66.58,67.15,67.68,68.14,68.5,68.79,69.06,69.4
Kosovo,160.502,161.796,163.101,164.508,165.812,167.548,167.337,165.5,166.823,168.155,166.088,166.187
,,,,,,,,,,,,
Yemen,42.28,43.48,44.68,45.9,47.13,48.36,49.59,50.82,52.04,53.26,54.47,55.68
South Africa,41.3,41.83,42.34,42.85,43.34,43.82,44.27,44.7,45.1,45.47,45.83,46.16
Zambia,17.43,17.95,18.49,19.06,19.65,20.26,20.89,21.54,22.21,22.9,23.61,24.34
Zimbabwe,34.54,35.11,35.76,36.48,37.27,38.13,39.02,39.93,40.86,41.81,42.77,43.74
