Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Slovenia,23.7,24.8,24.9,24.9,25.6,26.2,25.7,25.4,,,,
Sweden,28.1,27.3,27.7,27.6,27.6,28.8,28.4,29.2,,,,
Eswatini,,51.5,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,,
Seychelles,,,,,,46.8,,,,,,
Syria,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,
Chad,,,,43.3,,,,,,,,
Togo,,,,46,,,,43.1,,,,
Thailand,40.3,39.6,39.4,37.5,39.3,37.8,37,36,36.9,36.5,,
Tajikistan,,30.8,,,,,,34,,,,
Timor-Leste,,,,,,,28.7,,,,,
Tonga,,37.5,,,,,,37.6,,,,
Trinidad and Tobago,,,,,,,,,,,,
Tunisia,,,35.8,,,,,32.8,,,,
Turkey,39,39,38.8,40,40.2,40.2,41.2,42.9,41.9,,,
Tuvalu,,,39.1,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,
Tanzania,,,,37.8,,,,,,,,
Uganda,,44.2,,,41,,,,42.8,,,
Uruguay,45.1,45.6,44.5,42.2,39.9,40.5,40.1,40.2,39.7,39.5,,
United States,41.1,,40.4,,,41,,,41.5,,,
Uzbekistan,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,
British Virgin Islands,,,,,,,,,,,,
Virgin Islands,,,,,,,,,,,,
Vietnam,35.6,,39.3,,35.6,,34.8,,35.3,,,
Vanuatu,,,37.6,,,,,,,,,
Samoa,42,,,,,38.7,,,,,,
Kosovo,,31.8,33.3,27.8,29,26.3,27.3,26.5,26.7,29,,
Yemen,,,,,,,36.7,,,,,
South Africa,63,,63.4,,,,63,,,,,
Zambia,,,55.6,,,,,57.1,,,,
Zimbabwe,,,,43.2,,,,,,,,
