Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Slovenia,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063531,2065042,2066388,2067372,
Sweden,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9799186,9923085,10057698,10183175,
Eswatini,1049945,1057467,1064837,1072032,1079288,1086839,1095021,1104044,1113984,1124753,1136191,
Sint Maarten (Dutch part),33964,34238,34056,33435,34640,36607,37685,38825,39969,40574,40654,
Seychelles,86956,87298,89770,87441,88303,89949,91359,93419,94677,95843,96762,
Syria,20664038,21205873,21362529,21082966,20442541,19584274,18715672,17997408,17453933,17068002,16906283,
Turks and Caicos Islands,31202,31934,32660,33377,34066,34731,35369,35981,36559,37115,37665,
Chad,11183588,11560147,11952136,12360989,12784750,13220424,13663559,14110975,14561666,15016773,15477751,
Togo,6083420,6250835,6421679,6595943,6773807,6954721,7137997,7323158,7509952,7698475,7889094,
Thailand,66530984,66866839,67195028,67518382,67835957,68144501,68438730,68714511,68971331,69209858,69428524,
Tajikistan,7209930,7364753,7527394,7697510,7874835,8059769,8252833,8454028,8663579,8880268,9100837,
Timor-Leste,1055431,1074277,1093523,1113151,1132994,1153295,1174331,1196302,1219288,1243261,1267972,
Tonga,103379,103890,103986,103562,102737,101768,101028,100781,101133,101998,103197,
Trinidad and Tobago,1314443,1320930,1328147,1336178,1344817,1353700,1362342,1370328,1377564,1384072,1389858,
Tunisia,10414433,10525694,10635244,10741880,10847002,10952951,11063201,11179949,11303946,11433443,11565204,
Turkey,70418604,71321399,72326988,73443863,74653016,75928564,77231907,78529409,79821724,81101892,82319724,
Tuvalu,10314,10424,10530,10633,10739,10857,10972,11099,11225,11370,11508,
"Taiwan, China",,,23187551,,,,,23557477,23618200,23674546,23726460,23773876
Tanzania,41853944,43073834,44346525,45673338,47052481,48482266,49959822,51482633,53050790,54663906,56318348,
Uganda,30431736,31411096,32428167,33476919,34559168,35695246,36912148,38225453,39647506,41162465,42723139,
Uruguay,3340221,3349676,3359275,3368934,3378974,3389439,3400434,3412009,3424132,3436646,3449299,
United States,304093966,306771529,309326085,311580009,313874218,316057727,318386421,320742673,323071342,325147121,327167434,
Uzbekistan,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31298900,31847900,32388600,32955400,
St. Vincent and the Grenadines,108393,108287,108255,108316,108435,108622,108861,109148,109459,109827,110210,
Venezuela,27635832,28031009,28439940,28888369,29362449,29783571,30045134,30081829,29846179,29390409,28870195,
British Virgin Islands,26097,27039,27794,28319,28650,28847,28989,29152,29355,29577,29802,
Virgin Islands,108399,108405,108358,108292,108191,108044,107884,107710,107510,107268,106977,
Vietnam,86243413,87092252,87967651,88871561,89802487,90753472,91714595,92677076,93638724,94596642,95540395,
Vanuatu,224704,230247,236211,242653,249499,256635,263888,271130,278330,285510,292680,
Samoa,183263,184556,185949,187469,189088,190717,192221,193513,194535,195352,196130,
Kosovo,1747383,1761474,1775680,1791000,1805200,1824100,1821800,1801800,1816200,1830700,1845300,
Yemen,21892146,22516460,23154855,23807588,24473178,25147109,25823485,26497889,27168210,27834821,28498687,
South Africa,49779471,50477011,51216964,52004172,52834005,53689236,54545991,55386367,56203654,57000451,57779622,
Zambia,12848530,13215139,13605984,14023193,14465121,14926504,15399753,15879361,16363507,16853688,17351822,
Zimbabwe,12379549,12526968,12697723,12894316,13115131,13350356,13586681,13814629,14030390,14236745,14439018,
