Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Iran,72120604.0,72924837.0,73762519.0,74634956.0,75539862.0,76481943.0,77465753.0,78492215.0,79564016.0,80673951.0,81800269.0,81800269.0
Iraq,28385746.0,28973162.0,29741976.0,30725300.0,31890011.0,33157050.0,34411951.0,35572261.0,36610632.0,37552781.0,38433600.0,38433600.0
Iceland,317414.0,318499.0,318041.0,319014.0,320716.0,323764.0,327386.0,330815.0,335439.0,343400.0,353574.0,353574.0
Israel,7308800.0,7485600.0,7623600.0,7765800.0,7910500.0,8059500.0,8215700.0,8380100.0,8546000.0,8713300.0,8883800.0,8883800.0
Italy,58826731.0,59095365.0,59277417.0,59379449.0,59539717.0,60233948.0,60789140.0,60730582.0,60627498.0,60536709.0,60431283.0,60431283.0
Jamaica,2781876.0,2795837.0,2810460.0,2825929.0,2842132.0,2858709.0,2875136.0,2891021.0,2906238.0,2920853.0,2934855.0,2934855.0
Jordan,6556478.0,6893260.0,7261539.0,7663131.0,8090872.0,8520420.0,8920049.0,9266575.0,9551467.0,9779173.0,9956011.0,9956011.0
Japan,128063000.0,128047000.0,128070000.0,127833000.0,127629000.0,127445000.0,127276000.0,127141000.0,126994511.0,126785797.0,126529100.0,126529100.0
Kazakhstan,15674000.0,16092822.0,16321872.0,16557201.0,16792089.0,17035550.0,17288285.0,17542806.0,17794055.0,18037776.0,18276499.0,18276499.0
Kenya,39791981.0,40901792.0,42030676.0,43178257.0,44343410.0,45519889.0,46699981.0,47878336.0,49051686.0,50221473.0,51393010.0,51393010.0
Kyrgyz Republic,5318700.0,5383300.0,5447900.0,5514600.0,5607200.0,5719600.0,5835500.0,5956900.0,6079500.0,6198200.0,6315800.0,6315800.0
Cambodia,13883834.0,14093604.0,14312212.0,14541423.0,14780454.0,15026332.0,15274503.0,15521436.0,15766293.0,16009414.0,16249798.0,16249798.0
Kiribati,98761.0,100930.0,102927.0,104728.0,106370.0,107890.0,109391.0,110930.0,112524.0,114158.0,115847.0,115847.0
St. Kitts and Nevis,48185.0,48599.0,49016.0,49447.0,49887.0,50331.0,50774.0,51203.0,51625.0,52045.0,52441.0,52441.0
Korea,49054708.0,49307835.0,49554112.0,49936638.0,50199853.0,50428893.0,50746659.0,51014947.0,51245707.0,51466201.0,51635256.0,51635256.0
Lao PDR,6046620.0,6148623.0,6249165.0,6347567.0,6444530.0,6541304.0,6639756.0,6741164.0,6845846.0,6953035.0,7061507.0,7061507.0
Lebanon,4764741.0,4813026.0,4953061.0,5202343.0,5538634.0,5914621.0,6262410.0,6532678.0,6711121.0,6811873.0,6848925.0,6848925.0
Liberia,3607860.0,3754133.0,3891356.0,4017443.0,4135659.0,4248334.0,4359505.0,4472230.0,4586788.0,4702228.0,4818977.0,4818977.0
Libya,6058748.0,6133984.0,6197663.0,6247439.0,6285750.0,6320359.0,6362037.0,6418315.0,6492164.0,6580724.0,6678567.0,6678567.0
St. Lucia,170011.0,172221.0,174085.0,175544.0,176646.0,177513.0,178296.0,179126.0,180024.0,180955.0,181889.0,181889.0
Sri Lanka,19983984.0,20123508.0,20261737.0,20398670.0,20425000.0,20585000.0,20778000.0,20970000.0,21203000.0,21444000.0,21670000.0,21670000.0
Lesotho,1987129.0,1990131.0,1995581.0,2003787.0,2014990.0,2028519.0,2043437.0,2059021.0,2075001.0,2091412.0,2108132.0,2108132.0
Lithuania,3198231.0,3162916.0,3097282.0,3028115.0,2987773.0,2957689.0,2932367.0,2904910.0,2868231.0,2828403.0,2789533.0,2789533.0
Latvia,2177322.0,2141669.0,2097555.0,2059709.0,2034319.0,2012647.0,1993782.0,1977527.0,1959537.0,1942248.0,1926542.0,1926542.0
"Macao, China",515239.0,526400.0,538219.0,550832.0,564039.0,577372.0,590208.0,602085.0,612836.0,622585.0,631636.0,631636.0
St. Martin (French part),36885.0,37377.0,37582.0,37446.0,37009.0,36453.0,36015.0,35858.0,36065.0,36560.0,37264.0,37264.0
Morocco,31536811.0,31929087.0,32343389.0,32781850.0,33241898.0,33715693.0,34192347.0,34663603.0,35126296.0,35581294.0,36029138.0,36029138.0
Moldova,3570108.0,3565604.0,3562045.0,3559986.0,3559519.0,3558566.0,3556397.0,3554108.0,3551954.0,3549196.0,3545883.0,3545883.0
Madagascar,19996473.0,20569117.0,21151640.0,21743967.0,22346641.0,22961253.0,23589887.0,24234088.0,24894380.0,25570540.0,26262368.0,26262368.0
Maldives,343452.0,353398.0,365734.0,380495.0,397237.0,415593.0,435015.0,454915.0,475513.0,496402.0,515696.0,515696.0
Mexico,110815271.0,112463887.0,114092963.0,115695473.0,117274155.0,118827161.0,120355128.0,121858258.0,123333376.0,124777324.0,126190788.0,126190788.0
Marshall Islands,56174.0,56250.0,56366.0,56531.0,56717.0,56938.0,57179.0,57439.0,57735.0,58058.0,58413.0,58413.0
Macedonia,2067313.0,2069039.0,2070741.0,2072487.0,2074278.0,2076067.0,2077775.0,2079328.0,2080745.0,2081996.0,2082958.0,2082958.0
Mali,14113577.0,14581429.0,15049353.0,15514591.0,15979499.0,16449864.0,16934220.0,17438778.0,17965429.0,18512394.0,19077690.0,19077690.0
Myanmar,49929642.0,50250367.0,50600818.0,50990615.0,51413698.0,51852451.0,52280807.0,52680726.0,53045226.0,53382581.0,53708395.0,53708395.0
Montenegro,616969.0,618294.0,619428.0,620079.0,620601.0,621207.0,621810.0,622159.0,622303.0,622373.0,622345.0,622345.0
Mongolia,2631898.0,2673796.0,2719896.0,2770362.0,2824699.0,2881792.0,2940108.0,2998439.0,3056359.0,3113779.0,3170208.0,3170208.0
Northern Mariana Islands,54625.0,54193.0,53971.0,54012.0,54311.0,54784.0,55305.0,55780.0,56188.0,56562.0,56882.0,56882.0
